.99,41.5723,,59.099,53.99,41.5723,2024-10-05 14:56:38.220000000
285,7401,4,20140530,74129,119056,1,2319.99,1265.6195,,60.2488,2319.99,1265.6195,2024-10-05 14:56:38.220000000
435,7401,4,20140530,74129,119057,1,35,13.09,,60.2488,35,13.09,2024-10-05 14:56:38.220000000
547,7401,4,20140530,74129,119058,1,4.99,1.8663,,60.2488,4.99,1.8663,2024-10-05 14:56:38.220000000
375,7401,4,20140530,74129,119059,1,4.99,1.8663,,60.2488,4.99,1.8663,2024-10-05 14:56:38.220000000
542,7401,4,20140530,74129,119060,1,9.99,3.7363,,60.2488,9.99,3.7363,2024-10-05 14:56:38.220000000
526,7401,4,20140530,74129,119061,1,34.99,13.0863,,60.2488,34.99,13.0863,2024-10-05 14:56:38.220000000
287,10267,6,20140530,74130,119062,1,2294.99,1251.9813,,61.8993,2294.99,1251.9813,2024-10-05 14:56:38.220000000
383,10267,6,20140530,74130,119063,1,21.98,8.2205,,61.8993,21.98,8.2205,2024-10-05 14:56:38.220000000
384,10267,6,20140530,74130,119064,1,159,59.466,,61.8993,159,59.466,2024-10-05 14:56:38.220000000
582,7419,4,20140530,74131,119065,1,2319.99,1265.6195,,58.057,2319.99,1265.6195,2024-10-05 14:56:38.220000000
378,7419,4,20140530,74131,119066,1,2.29,0.8565,,58.057,2.29,0.8565,2024-10-05 14:56:38.220000000
533,513,6,20140530,74132,119067,1,2319.99,1265.6195,,57.9998,2319.99,1265.6195,2024-10-05 14:56:38.220000000
458,2766,10,20140530,74133,119068,1,1214.85,755.1508,,31.096,1214.85,755.1508,2024-10-05 14:56:38.220000000
439,2766,10,20140530,74133,119069,1,28.99,10.8423,,31.096,28.99,10.8423,2024-10-05 14:56:38.220000000
477,9052,8,20140530,74134,119070,1,1214.85,755.1508,,31.246,1214.85,755.1508,2024-10-05 14:56:38.220000000
213,9052,8,20140530,74134,119071,1,34.99,13.0863,,31.246,34.99,13.0863,2024-10-05 14:56:38.220000000
483,17369,7,20140530,74135,119072,1,742.35,461.4448,,19.783,742.35,461.4448,2024-10-05 14:56:38.220000000
377,17369,7,20140530,74135,119073,1,8.99,3.3623,,19.783,8.99,3.3623,2024-10-05 14:56:38.220000000
375,17369,7,20140530,74135,119074,1,4.99,1.8663,,19.783,4.99,1.8663,2024-10-05 14:56:38.220000000
213,17369,7,20140530,74135,119075,1,34.99,13.0863,,19.783,34.99,13.0863,2024-10-05 14:56:38.220000000
582,3056,9,20140530,74136,119076,1,2319.99,1265.6195,,59.424,2319.99,1265.6195,2024-10-05 14:56:38.220000000
383,3056,9,20140530,74136,119077,1,21.98,8.2205,,59.424,21.98,8.2205,2024-10-05 14:56:38.220000000
213,3056,9,20140530,74136,119078,1,34.99,13.0863,,59.424,34.99,13.0863,2024-10-05 14:56:38.220000000
299,19590,9,20140530,74137,119079,1,2443.35,1554.9479,,62.2545,2443.35,1554.9479,2024-10-05 14:56:38.220000000
427,19590,9,20140530,74137,119080,1,3.99,1.4923,,62.2545,3.99,1.4923,2024-10-05 14:56:38.220000000
438,19590,9,20140530,74137,119081,1,32.6,12.1924,,62.2545,32.6,12.1924,2024-10-05 14:56:38.220000000
378,19590,9,20140530,74137,119082,1,2.29,0.8565,,62.2545,2.29,0.8565,2024-10-05 14:56:38.220000000
382,19590,9,20140530,74137,119083,1,7.95,2.9733,,62.2545,7.95,2.9733,2024-10-05 14:56:38.220000000
477,15304,4,20140530,74138,119084,1,1214.85,755.1508,,31.246,1214.85,755.1508,2024-10-05 14:56:38.220000000
526,15304,4,20140530,74138,119085,1,34.99,13.0863,,31.246,34.99,13.0863,2024-10-05 14:56:38.220000000
288,2968,9,20140530,74139,119086,1,2294.99,1251.9813,,59.962,2294.99,1251.9813,2024-10-05 14:56:38.220000000
547,2968,9,20140530,74139,119087,1,4.99,1.8663,,59.962,4.99,1.8663,2024-10-05 14:56:38.220000000
435,2968,9,20140530,74139,119088,1,35,13.09,,59.962,35,13.09,2024-10-05 14:56:38.220000000
370,2968,9,20140530,74139,119089,1,63.5,23.749,,59.962,63.5,23.749,2024-10-05 14:56:38.220000000
551,13758,6,20140530,74140,119090,1,742.35,461.4448,,19.133,742.35,461.4448,2024-10-05 14:56:38.220000000
377,13758,6,20140530,74140,119091,1,8.99,3.3623,,19.133,8.99,3.3623,2024-10-05 14:56:38.220000000
375,13758,6,20140530,74140,119092,1,4.99,1.8663,,19.133,4.99,1.8663,2024-10-05 14:56:38.220000000
217,13758,6,20140530,74140,119093,1,8.99,6.9223,,19.133,8.99,6.9223,2024-10-05 14:56:38.220000000
502,12885,4,20140530,74141,119094,1,539.99,343.6496,,15.0873,539.99,343.6496,2024-10-05 14:56:38.220000000
369,12885,4,20140530,74141,119095,1,63.5,23.749,,15.0873,63.5,23.749,2024-10-05 14:56:38.220000000
303,11254,1,20140530,74142,119096,1,1120.49,713.0798,,29.362,1120.49,713.0798,2024-10-05 14:56:38.220000000
388,11254,1,20140530,74142,119097,1,53.99,41.5723,,29.362,53.99,41.5723,2024-10-05 14:56:38.220000000
600,17518,10,20140530,74143,119098,1,539.99,343.6496,,14.4615,539.99,343.6496,2024-10-05 14:56:38.220000000
377,17518,10,20140530,74143,119099,1,8.99,3.3623,,14.4615,8.99,3.3623,2024-10-05 14:56:38.220000000
375,17518,10,20140530,74143,119100,1,4.99,1.8663,,14.4615,4.99,1.8663,2024-10-05 14:56:38.220000000
363,17518,10,20140530,74143,119101,1,24.49,9.1593,,14.4615,24.49,9.1593,2024-10-05 14:56:38.220000000
